name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,row_ref
Fargo Leatherette Side Sling Bags For Women's Ladies (Black_FGO-275-2),accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71FFjv8r0FL._AC_UL320_.jpg,https://www.amazon.in/Fargo-Leatherette-Womens-Ladies-Black_FGO-275-2/dp/B0B464X5MJ/ref=sr_1_43?qid=1679158589&s=shoes&sr=1-43,3.6,209,₹295,"₹1,499",A_BAG_035
KLEIO Quilted Travelling Crossbody Sling Bag For Women/Girls (HO8030KL),accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/612olojIJbL._AC_UL320_.jpg,https://www.amazon.in/KLEIO-Quilted-Travelling-Crossbody-HO8030KL-BL/dp/B09KXD6KTZ/ref=sr_1_44?qid=1679158589&s=shoes&sr=1-44,4.4,402,"₹1,041","₹1,899",A_BAG_036
Beclina Handbag For Women And Girls | Ladies Purse Faux Leather Handbag | Woman Gifts | Wedding Gifts For Woman | Women 3 ...,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51qjfxBXOKL._AC_UL320_.jpg,https://www.amazon.in/BECLINA-Womens-Stylish-Modern-Handbag/dp/B085WNF74B/ref=sr_1_45?qid=1679158589&s=shoes&sr=1-45,3.8,"2,918","₹1,149","₹2,999",A_BAG_037
creeper Women's Leather Large Capacity Shoulder Bags,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81Z8erdbvjL._AC_UL320_.jpg,https://www.amazon.in/Creeper-Womens-Handbag-CR-135-Brown/dp/B0926SFP5C/ref=sr_1_46?qid=1679158589&s=shoes&sr=1-46,3.9,581,₹489,"₹1,299",A_BAG_038
jsm fashion Women's Handbag (BLACK PRINT_Black),accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81whhNx7zjL._AC_UL320_.jpg,https://www.amazon.in/jsm-fashion-stylish-beautyful-black/dp/B081JX6YZB/ref=sr_1_47?qid=1679158589&s=shoes&sr=1-47,3.5,"2,339",₹287,₹999,A_BAG_039
Lavie Women's Nova Tote Bag | Ladies Purse Handbag,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Fn+A6IekS._AC_UL320_.jpg,https://www.amazon.in/Lavie-Spring-Summer-Womens-Tote/dp/B083ZT1LHB/ref=sr_1_48?qid=1679158589&s=shoes&sr=1-48,4.2,"7,446",₹733,"₹2,499",A_BAG_040
"Juteberry Jute/Juco Blue Tote Bags, Women Hand bag Eco Friendly, 100%Natural ,Spacious Bags, Beach Bags, Fashion & Shoppin...",accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81cqyrytpGL._AC_UL320_.jpg,https://www.amazon.in/Juteberry-Friendly-100-Natural-Spacious-Shopping/dp/B09MN9YX53/ref=sr_1_49?qid=1679158589&s=shoes&sr=1-49,3.8,166,₹369,"₹1,699",A_BAG_041
SXF SPEED X FASHION Women Handbag,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81M0GZIfhmL._AC_UL320_.jpg,https://www.amazon.in/Speed-Fashion-Womens-Tan-Handbag/dp/B07PLJXCKC/ref=sr_1_50?qid=1679158589&s=shoes&sr=1-50,4.0,"6,167",₹636,"₹4,099",A_BAG_042
"WILD MODA Women's Shoulder Bag, Set of 1",accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71WGJAqavPS._AC_UL320_.jpg,https://www.amazon.in/WILD-MODA-Womens-Shoulder-Turquoise/dp/B099PLT91X/ref=sr_1_51?qid=1679158589&s=shoes&sr=1-51,4.3,"3,488",₹849,"₹1,999",A_BAG_043
LL LEATHER LAND DESIGNER BAGS Women Sling Bag,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71N5hmtlf5L._AC_UL320_.jpg,https://www.amazon.in/LL-LEATHER-LAND-DESIGNER-BAGS/dp/B0BD4TTDHD/ref=sr_1_52?qid=1679158589&s=shoes&sr=1-52,4.0,"1,623",₹299,₹999,A_BAG_044
Fristo Women's Handbag (FRB-315_Red),accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71vRykoHKKL._AC_UL320_.jpg,https://www.amazon.in/Fristo-FRB-315-Red-Women-Handbag/dp/B07MNRTDK5/ref=sr_1_53?qid=1679158589&s=shoes&sr=1-53,3.9,"5,598",₹497,"₹2,599",A_BAG_045
